file,total,afd,cdu,spd,csu,fdp,linke,gruene,grüne,wahlkampf,merkel,flüchtlinge,refugees,asyl,btw17,btw2017,schulz,schulztrain,schulzzug,stmartin
"~/tweets/germany_2017_07_30_09_00_02.json","5225","455","376","504","105","623","154","38","138","125","1338","102","818","93","125","39","148","0","1","1"
"~/tweets/germany_2017_07_30_10_00_02.json","5610","615","461","459","173","761","157","36","145","86","1306","133","824","151","110","33","165","0","3","1"
"~/tweets/germany_2017_07_30_11_00_02.json","5477","606","399","420","104","916","184","48","104","108","1125","128","860","163","115","36","137","0","1","0"
"~/tweets/germany_2017_07_30_12_00_03.json","5689","540","324","409","100","1106","244","23","148","84","1096","103","965","148","125","27","158","0","3","0"
"~/tweets/germany_2017_07_30_13_00_01.json","5612","464","314","363","96","1142","151","27","106","67","1030","95","894","120","99","23","322","0","2","5"
"~/tweets/germany_2017_07_30_14_00_02.json","5984","501","311","355","98","1379","134","25","96","51","1134","125","946","169","97","12","269","0","2","6"
"~/tweets/germany_2017_07_30_15_00_02.json","6610","684","481","477","178","1499","166","45","151","72","1261","97","1015","151","167","28","247","0","1","7"
"~/tweets/germany_2017_07_30_16_00_01.json","5785","538","290","353","130","1497","157","36","124","52","995","90","841","89","112","23","211","0","3","0"
"~/tweets/germany_2017_07_30_17_00_01.json","6070","594","284","350","276","1483","131","62","129","62","1026","113","926","110","122","21","245","0","5","0"
"~/tweets/germany_2017_07_30_18_00_02.json","6485","548","306","334","175","1866","187","45","87","59","921","114","1117","103","155","31","228","0","10","0"
"~/tweets/germany_2017_07_30_19_00_01.json","12034","749","250","294","268","6648","119","28","103","55","980","87","1176","115","102","21","177","0","4","0"
"~/tweets/germany_2017_07_30_20_00_02.json","9672","646","222","225","277","5142","134","34","111","65","949","59","944","117","77","37","125","0","1","1"
"~/tweets/germany_2017_07_30_21_00_01.json","7069","424","193","178","137","3160","117","31","66","26","956","59","966","102","58","15","145","0","3","1"
"~/tweets/germany_2017_07_30_22_00_01.json","5772","355","135","293","85","2401","64","23","52","22","578","60","1025","67","56","31","108","0","3","0"
"~/tweets/germany_2017_07_30_23_00_01.json","4068","265","75","112","55","1806","38","9","28","12","368","24","757","49","25","16","81","0","1","1"
"~/tweets/germany_2017_07_31_00_00_02.json","3495","114","34","45","52","1817","28","3","12","5","237","18","670","30","12","7","76","0","0","1"
"~/tweets/germany_2017_07_31_01_00_02.json","3151","79","29","51","50","1588","15","5","12","3","174","10","670","14","5","4","68","0","1","0"
"~/tweets/germany_2017_07_31_02_00_01.json","3097","87","27","46","28","1579","11","8","22","3","176","8","634","18","15","3","67","0","0","1"
"~/tweets/germany_2017_07_31_03_00_03.json","3072","105","26","72","36","1230","19","3","10","7","196","6","846","18","12","3","65","0","0","1"
"~/tweets/germany_2017_07_31_04_00_01.json","3178","296","69","98","74","957","32","15","38","19","452","35","722","49","46","15","70","0","1","0"
"~/tweets/germany_2017_07_31_05_00_02.json","3493","420","184","168","123","695","55","29","80","20","508","94","678","59","52","16","56","0","2","0"
"~/tweets/germany_2017_07_31_06_00_02.json","3784","540","149","208","177","485","106","33","102","40","593","96","843","88","102","36","73","0","1","0"
"~/tweets/germany_2017_07_31_07_00_02.json","4403","488","309","244","315","478","172","44","117","40","610","90","954","98","137","25","113","0","0","0"
"~/tweets/germany_2017_07_31_08_00_02.json","4348","447","258","257","225","571","154","26","119","48","637","78","823","79","103","24","175","0","0","3"
"~/tweets/germany_2017_07_31_09_00_02.json","4436","497","245","223","163","881","169","31","128","57","549","100","762","127","151","44","126","0","0","2"
"~/tweets/germany_2017_07_31_10_00_01.json","4833","507","238","214","167","904","193","47","157","24","686","140","749","161","120","34","183","0","1","0"
"~/tweets/germany_2017_07_31_11_00_02.json","5356","597","253","259","151","1203","240","37","159","38","692","124","869","153","114","27","258","0","0","0"
"~/tweets/germany_2017_07_31_12_00_02.json","5165","549","166","225","148","1152","165","35","116","56","620","122","1050","129","134","59","118","0","2","5"
"~/tweets/germany_2017_07_31_13_00_02.json","4956","673","286","247","228","1107","176","44","120","50","720","83","867","106","160","24","114","0","1","3"
"~/tweets/germany_2017_07_31_14_00_01.json","5317","464","285","241","205","1304","176","51","104","46","749","109","1052","83","95","18","148","0","3","2"
"~/tweets/germany_2017_07_31_15_00_02.json","6187","507","206","213","171","1672","142","66","134","70","869","101","1140","121","147","39","110","0","0","3"
"~/tweets/germany_2017_07_31_16_00_02.json","6255","500","238","218","154","1498","141","81","114","79","748","110","1286","179","130","49","114","0","1","3"
"~/tweets/germany_2017_07_31_17_00_02.json","6392","603","274","218","184","1528","138","61","146","53","1041","145","1124","186","165","34","102","0","1","3"
"~/tweets/germany_2017_07_31_18_00_02.json","5870","524","243","194","157","1328","136","73","107","50","880","139","1200","137","165","45","121","0","2","1"
"~/tweets/germany_2017_07_31_19_00_01.json","5552","507","205","169","156","1366","103","42","76","42","760","109","1158","157","142","22","87","0","1","0"
"~/tweets/germany_2017_07_31_20_00_01.json","5913","575","280","186","145","1635","121","53","107","46","816","142","1046","104","153","21","125","0","2","0"
"~/tweets/germany_2017_07_31_21_00_02.json","5402","375","153","136","99","1740","86","23","57","50","733","112","1009","106","107","17","94","0","0","0"
"~/tweets/germany_2017_07_31_22_00_02.json","4716","269","77","141","67","1740","64","9","50","16","444","131","843","59","76","9","82","0","2","1"
"~/tweets/germany_2017_07_31_23_00_02.json","4215","197","90","74","91","1874","213","7","24","12","372","66","707","29","42","2","81","0","0","2"
"~/tweets/germany_2017_08_01_00_00_02.json","4215","114","30","72","52","2141","24","6","17","6","276","34","935","28","28","4","55","0","0","0"
